error_code,description,file,line,line_text,suggestion,reason
A1,"""hardly or not at all suitable""",main.tex,129,These graphical representations are hardly or not at all suitable for \ac{bvi} students to learn these topics.,are often inaccessible,Knapper & idiomatisch.
A2,"""This paper presents""",main.tex,153,This paper presents these experiences -- along with insights from other institutions and organizations -- in the form of pedagogical patterns. The aim is to ...,We contribute ...,Expliziter Beitragssatz.
A3,"""easier understand""",1_Pattern.tex,98,Markdown is designed to use a minimal set of tags. Hence it is easier understand when access is done via text-to-speach or is read on a Braille display.,easier to parse,Infinitiv mit „to“.
A4,"""accomplish visual represented information...""",5_Pattern.tex,20,Accomplish visual represented information with a generated an checked textual description.,augment visually represented information ... generated and human-checked,Korrekte Wortwahl/Grammatik.
Bx2,http-Links statt DOI (in .bib),literature.bib,195,url       = {http://udlguidelines.cast.org},Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,321,"url = {http://www.amazon.fr/exec/obidos/ASIN/0195019199/citeulike04-21},",Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,336,"url={http://dx.doi.org/10.1145/3706598.3714132},",Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,456,"url={http://dx.doi.org/10.11648/j.ajaa.20210904.11},",Prefer DOI link in doi = {...},Stabile Referenzen.
Cx3,"""Pattern 3"" ohne Namen",special_commands.tex,18,\patternname{Pattern 3: Accessibility of Graphics},Pattern ‘<Name>’ (see Section~\ref{...}),Präziser Verweis.
G10,"Satzanfang klein nach Punkt: "". these""",1_Pattern.tex,38,"In case of diagrams that adhere to a formal specification, such specifications typically define formats for textual representation. These structured formats ...",... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",2_Pattern.tex,29,Most software modeling tools use  a textual storage format. these formats are often not designed for humans but are used for data exchange. One example is \a...,... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",3_Pattern.tex,7,"In educational contexts, graphical representations are extensively employed in teaching materials at both school and university levels. These include diagram...",... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",3_Pattern.tex,52,Emerging \ac{ai} technologies are increasingly capable of interpreting and describing graphics. These advancements offer promising solutions for making visua...,... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",3_Pattern.tex,58,"Electronic tactile displays, such as 2D Braille displays, provide dynamic tactile feedback. These devices can render static or even animated graphics in real...",... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",5_Pattern.tex,30,Emerging artificial intelligence technologies are increasingly capable of interpreting and describing graphics. These advancements offer promising solutions ...,... These ...,Satzanfang groß.
G11,"""braille"" klein",2_Pattern.tex,34,"\ac{bvi} learners can have the textual description read aloud using text-to-speech, use screen readers or read on braille lines.",Braille,Eigenname groß.
G12,"""Screen shot""",3_Pattern.tex,87,\caption{Screen shot from the \textit{PunktBilder} application (Source: BliZ)},Screenshot,Zusammenschreibung.
G13,"""Time-line""",5_Pattern.tex,69,\caption{Screenshot of Circuit and Time-line Graph},Timeline,Zusammenschreibung.
G3,"Bindestrich: ""barrier free""",main.tex,134,\keywords{accessibility \and blind and visually impaired (BVI)  \and barrier free course material \and STEM education \and assistive technologies \and  artif...,barrier-free,Attributives Adjektiv mit Bindestrich.
G5,"Denglisch: ""Klassendiagramm""/""Instanziierung""",5_Pattern.tex,38,Fig.~\ref{fig:instanziierung} shows a .png picture illustrating the concept of instantiation. The arrow follows the UML specification.,UML class diagram / instantiation,Englische Fachtermini verwenden (im EN-Paper).
G5,"Denglisch: ""Klassendiagramm""/""Instanziierung""",5_Pattern.tex,42,\fbox{\includegraphics[width=0.5\linewidth]{img/instanziierung.png}},UML class diagram / instantiation,Englische Fachtermini verwenden (im EN-Paper).
G5,"Denglisch: ""Klassendiagramm""/""Instanziierung""",5_Pattern.tex,44,\label{fig:instanziierung},UML class diagram / instantiation,Englische Fachtermini verwenden (im EN-Paper).
G5,"Denglisch: ""Klassendiagramm""/""Instanziierung""",__Literatur-Recherche.tex,240,\emph{Beschreibung:} Nutzerstudie mit taktil/akustischer Exploration von UML-Klassendiagrammen (Touchscreen + VoiceOver).\\,UML class diagram / instantiation,Englische Fachtermini verwenden (im EN-Paper).
G7,"Tool-Branding ""chatGPT""",3_Pattern.tex,73,"Prompt for chatGPT: ""write a alt-text for a html web site describing this diagram"". Answer:",an LLM-based system,"Neutrale, langlebige Formulierung."
G7,"Tool-Branding ""chatGPT""",5_Pattern.tex,47,Here a generated description of this picture (chatGPT):,an LLM-based system,"Neutrale, langlebige Formulierung."
G7,"Tool-Branding ""chatGPT""",5_Pattern.tex,74,Answer from chatGPT:,an LLM-based system,"Neutrale, langlebige Formulierung."
G9,"UML Erstnennung klein: ""unified modeling language UML""",2_Pattern.tex,8,"In computer science, the diagrams of the unified modeling language UML are widely used. There are specifications for \ac{uml}. Formats are defined for the da...",Unified Modeling Language (UML),Eigenname groß + Akronym in Klammern.
S15,"""text-to-speach""",1_Pattern.tex,98,Markdown is designed to use a minimal set of tags. Hence it is easier understand when access is done via text-to-speach or is read on a Braille display.,text-to-speech,Rechtschreibung.
S16,"""the the""",1_Pattern.tex,122,This markdown is then converted into a slide in PDF using Pandoc with a user defined \LaTeX Beamer template accomplishing the the CI specifications of the un...,the,Dopplung entfernen.
S18,"""or or""",4_Pattern.tex,27,"amplitude, rate of change, loudness or or stereo position etc.",or,Dopplung entfernen.
S19,"""fro"" (für ""for"")",3_Pattern.tex,102,"\caption{Dot pattern fro the logo of the THM (left), converted with \textit{PunktBilder} for a 2D Braille display (right)}",for,Tippfehler.
S20,"""a circuit an simulation result""",5_Pattern.tex,60,Simulation of electronic circuits is an important topic in technical electronics and technical informatics. Fig.~\ref{fig:rc} shows a screenshot of a circuit...,a circuit and a simulation result,Konjunktion 'and'.
S22,Komma nach e.g./i.e.,1_Pattern.tex,100,"Tools like Pandoc\footnote{\url{https://pandoc.org/}} can convert markdown text in a variety of formats like PDF, \ac{html} and office formats. Hence it is p...","e.g., / i.e.,",Komma nach Abkürzung.
S22,Komma nach e.g./i.e.,main.tex,183,"A diagram is a type of graphic that illustrates e.g. the relationships or functions of a system, process, or concept. A diagram is an illustration following ...","e.g., / i.e.,",Komma nach Abkürzung.
S22,Komma nach e.g./i.e.,main.tex,189,"A drawing is a manually or digitally created depiction  representing e.g. objects, scenes, or ideas. This paper focuses on  technical illustrations. Examples...","e.g., / i.e.,",Komma nach Abkürzung.
S24,"""Acknowledgments""",main.tex,244,\subsection*{Acknowledgments},Acknowledgements,Britische Schreibweise (Springer häufig).
S25,"""is hardly or not suitable to represent""",4_Pattern.tex,13,Graphical representations of time series  are not accessible for \ac{bvi} students and people in general. A sequential output of the data on Braille lines or...,is not well suited to representing,Idiomatische Formulierung.
S26,"""AI generated description""",5_Pattern.tex,64,"An AI generated description of this figure can be improved if the context is given in the prompt: ""explain this figure in the context of technical electronics""",AI-generated description,Bindestrich in zusammengesetztem Adj.
S4,"Übernutzung ""Hence""",1_Pattern.tex,98,Markdown is designed to use a minimal set of tags. Hence it is easier understand when access is done via text-to-speach or is read on a Braille display.,Therefore/As a result,Stilvariation.
S4,"Übernutzung ""Hence""",1_Pattern.tex,100,"Tools like Pandoc\footnote{\url{https://pandoc.org/}} can convert markdown text in a variety of formats like PDF, \ac{html} and office formats. Hence it is p...",Therefore/As a result,Stilvariation.
S6,"""Hence it is easier understand""",1_Pattern.tex,98,Markdown is designed to use a minimal set of tags. Hence it is easier understand when access is done via text-to-speach or is read on a Braille display.,"Hence, it is easier to parse ...",Infinitiv + Komma.
T2,\titlerunning vorhanden,backup.tex,64,\titlerunning{A Pattern Collection for Accessible Teaching in Computer Science}  % abbreviated title (for running head),Kurzer Running Title,LNCS Kopfzeilen kurz halten.
T2,\titlerunning vorhanden,main.tex,92,\titlerunning{A Pattern Collection for Generating Accessible Teaching Materials},Kurzer Running Title,LNCS Kopfzeilen kurz halten.
